Age,Female,Male
20,0.97,0.46
25,1.91,0.86
30,3.35,1.56
35,4.79,2.26
40,6.57,3.58
45,9.01,7.08
50,11.48,11.95
55,12.43285714,10.95428571
60,14.18107143,12.70178571
