Age,Female,Male
20,1.1,0.72
25,2.73,1.55
30,4.36,2.32
35,5.99,3.69
40,7.98,6.05
45,10.76,11.33
50,12.57,13.195
55,14.22571429,14.22428571
60,16.1575,16.39267857
