Age,Female,Male
20,0.83,0.37
25,1.96,0.76
30,3.09,1.69
35,4.22,2.62
40,5.61,4.22
45,7.66,7.91
50,8.92,9.175
55,10.06857143,9.998571429
60,11.4325,11.54303571
